MIAPPE				
MIAPPE Check list	Definition	Example	Format	Cardinality
External ID	Identifier for the observation unit in a persistant repository, comprises the name of the repository and the identifier of the observation unit therein. The EBI Biosamples repository is recommended. 	Biosamples: SAMEA4202911	Unique identifier	0+
Spatial distribution	Type and value of a spatial coordinate (georeference or relative) or level of observation (plot 45, subblock 7, block 2) provided as a key-value pair of the form [type] value. Levels of observation must be consistent with those listed in the Study section.	"[Latitude] +2.341; [row] 4 ; [X] 3; [Y] 6; [Xm] 35; [Ym] 65; [Block] 1; [Plot] 894"	Formatted text ([Key] value)	0+
Observation Unit factor value	List of values for each factor applied to the observation unit.	Watered	Free text	0+
Sample	A sample is a portion of plant tissue extracted from an observation unit for the purpose of sub-plant observations and/or molecular studies.			0+ per observation unit
Sample ID	Unique identifier for the sample.	CEA:BE00034067	Unique identifier	1
Plant structure development stage	The stage in the life of a plant structure during which the sample was taken, in the form of an accession number to a suitable controlled vocabulary (Plant Ontology, BBCH scale)	"PO:0025094;
BBCH-17"	Plant Ontology term (subclass or PO:0009012) or BBCH scale term	0-1
Plant anatomical entity	A description of  the plant part (e.g. leaf) or the plant product (e.g. resin) from which the sample was taken, in the form of an accession number to a suitable controlled vocabulary (Plant Ontology).	"PO:0000003;
PO:0025161"	"Plant Ontology term (subclass of PO:0025131)
"	1
Sample description	Any information not captured by the other sample fields, including quantification, sample treatments and processing.	"Distal part of the leaf ; 100mg of roots taken from 10 roots at 20°C, conserved in vacuum at 20mM NaCl salinity, stored at -60 °C to -85 °C."	Free text	0-1
Collection date	The date and time when the sample was collected / harvested	2005-08-15T15:52:01+00:00	Date/Time	1
External ID	An identifier for the sample in a persistant repository, comprising the name of the repository and the accession number of the observation unit therein. Submission to the EBI Biosamples repository is recommended	Biosamples:SAMEA4202911	Unique identifier	0+
Observed Variable	An observed variable, typically taking the form of a measured characteristic of the observation unit (plant or environmental trait), associated to the method and unit of measurement.			1+ per study
Variable ID	Code used to identify the variable in the data file. We recommend using a variable definition from the Crop Ontology where possible. Otherwise, the Crop Ontology naming convention is recommended: <trait abbreviation>_<method abbreviation>_<scale abbreviation>). A variable ID must be unique within a given investigation.	Ant_Cmp_Cday	Unique identifier	1
Variable name	Name of the variable.	Anthesis computed in growing degree days	Free text	0-1
Variable accession number	Accession number of the variable in the Crop Ontology (if available)	CO_322:0000794	Crop Ontology term	0-1
Trait	Name of the (plant or environmental) trait under observation	"Anthesis time; reproductive growth time"	Free text	1
Trait accession number	Accession number of the trait in a suitable controlled vocabulary (Crop Ontology, Trait Ontology).	CO_322:0000030, TO:0000366	"Term from Plant Trait Ontology, 
Crop Ontology, or XML Environment Ontology"	0-1
Method	Name of the method of observation	Growing degree days to anthesis	Free text	1
Method accession number	Accession number of the method in a suitable controlled vocabulary (Crop Ontology, Trait Ontology).	CO_322:0000189	"Term from Plant Trait Ontology, 
Crop Ontology, or XML Environment Ontology"	0-1
Method description	Textual description of the method, which may extend a method defined in an external reference with specific parameters, e.g. growth stage, inoculation precise organ (leaf number)	"1/ Days to anthesis for male flowering was measured in thermal time (GDD: growing degree-days) according to Ritchie J, NeSmith D (1991;Temperature and crop development. Modeling plant a nd soil systems American Society of Agronomy Madison, Wisconsin USA) with TBASE=8°C and T0=30°C.
2/ Plant height was measured at 5 years with a ruler, one year after Botritis inoculation. "	Free text	0-1
Reference associated to the method	URI/DOI of reference describing the method.	http://doi.org/10.2134/agronmonogr31.c2	URI or DOI	0-1
Scale	Name of the scale associated with the variable	°C day	Unique identifier	1
Scale accession number	Accession number of the scale in a suitable controlled vocabulary (Crop Ontology).	CO_322:0000510	Crop Ontology term	0-1
Time scale	Name of the scale or unit of time with which observations of this type were recorded in the data file (for time series studies).	"Date/Time;
Growing degree day (GDD) "	Free text	0+
