	MIAPPE				
DM-44'	Infraspecific name	"Name of any subtaxa level, including variety, crossing name, etc. It can be used to store any additional taxonomic identifier. Either free text description or key-value pair list format (the key is the name of the rank and the value is the value of  the rank). Ranks can be among the following terms: subspecies, cultivar, variety, subvariety, convariety, group, subgroup, hybrid, line, form, subform. For MCPD compliance, the following abbreviations are allowed: ‘subsp.’ (subspecies); ‘convar.’ (convariety); ‘var.’ (variety); ‘f.’ (form); ‘Group’ (cultivar group)."	"vinifera Pinot noir
B73
subspecies:vinifera ; cultivar:Pinot noir
var:B73
subsp. vinifera var. Pinot Noir
var. B73"	Free text, or key-value pair list, or MCPD-compliant format	0-1
DM-45	Biological material latitude	Latitude of the studied biological material. [Alternative identifier for in situ material]	+39.067	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)
DM-46	Biological material longitude	Longitude of the studied biological material. [Alternative identifier for in situ material]	-8,73	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)
DM-47	Biological material altitude	Altitude of the studied biological material, provided in meters (m). [Alternative identifier for in situ material]	10 m	Numeric + unit abbreviation	0-1
DM-48	Biological material coordinates uncertainty	Circular uncertainty of the coordinates, preferably provided in meters (m). [Alternative identifier for in situ material]	200 m	Numeric	0-1
DM-49	Biological material preprocessing	Description of any process or treatment applied uniformly to the biological material, prior to the study itself. Can be provided as free text or as an accession number from a suitable controlled vocabulary.	"EO:0007210 - PVY(NTN); transplanted from study http://phenome-fppn.fr/maugio/2013/t2351 observation unit ID: pot:894"	Plant Environment Ontology and/or free text	0+
DM-50	Material source ID (Holding institute/stock centre, accession)	"An identifier for the source of the biological material, in the form of a key-value pair comprising the name/identifier of the repository from which the material was sourced plus the accession number of the repository for that material. Where an accession number has not been assigned, but the material has been derived from the crossing of known accessions, the material can be defined as follows: ""mother_accession X father_accession"", or, if father is unknown, as ""mother_accession X UNKNOWN"". For in situ material, the region of provenance may be used when an accession is not available."	"INRA:W95115_inra
ICNF:PNB-RPI"	Unique identifier	0-1
DM-51	Material source DOI	Digital Object Identifier (DOI) of the material source	doi:10.15454/1.4658436467893904E12	DOI	0-1
DM-52	Material source latitude	Latitude of the material source. [Alternative identifier for in situ material]	+39.067	Degrees in the decimal format (ISO 6709)	0-1 (1 if longitude is provided)
DM-53	Material source longitude	Longitude of the material source. [Alternative identifier for in situ material]	-8,73	Degrees in the decimal format (ISO 6709)	0-1 (1 if latitude is provided)
DM-54	Material source altitude	Altitude of the material source, provided in metres (m). [Alternative identifier for in situ material]	10 m	Numeric + unit abbreviation	0-1
DM-55	Material source coordinates uncertainty	Circular uncertainty of the coordinates, provided in meters (m). [Alternative identifier for in situ material]	200 m	Numeric + unit abbreviation	0-1
DM-56	Material source description	Description of the material source	Branches were collected from a 10-year-old tree growing in a progeny trial established in a loamy brown earth soil.	Free text	0-1
DM-57	Environment	Environmental parameters that were kept constant throughout the study and did not change between observation units or assays. Environment characteristics that vary over time, i.e. environmental variables, should be recorded as Observed Variables (see below).			0-1 per study
DM-58	Environment parameter	Name of the environment parameter constant within the experiment. 	"sowing density
rooting medium composition; pH"	Free text (see Appendix I)	1+
DM-59	Environment parameter value	Value of the environment parameter (defined above) constant within the experiment.	"300 seeds per m2
Clay 50% plus sand; 6.5"	Free text	1 per parameter
DM-60	Experimental Factor	"The object of a study is to ascertain the impact of one or more factors on the biological material. Thus, a factor is, by definition a condition that varies between observation units, which may be biotic (pest, disease interaction) or abiotic (treatment and cultural practice) in nature. Depending on the level of the data, an experimental factor can be either  ""what is the factor applied to the plant"" (i.e. Unwatered), or the ""environmental characterisation"" (i.e. if no rain on unwatered plant : Drought ;  if rain on unwatered plant: Irrigated) "			"0+ per study;
0+ per observation unit"
DM-61	Experimental Factor type	Name/Acronym of the experimental factor.	Watering	Free text (see Appendix II)	1
DM-62	Experimental Factor description	Free text description of the experimental factor. This includes all relevant treatments planification and protocol planned for all the plants targeted by a given experimental factor. 	Daily watering 1 L per plant. 	Free text	0-1
DM-63	Experimental Factor values	List of possible values for the factor.	"Watered; Unwatered"	Free text	2+ per factor
DM-64	Event	An event is discrete occurrence at a particular time in the experiment (which can be natural, such as rain, or unnatural, such as planting, watering, etc). Events may be the realization of Factors or parts of Factors, or may be confounding to Factors. Can be applied at the whole study level or to only a subset of observation units.			0+ per study/observation unit
DM-65	Event type	Short name of the event.	"Planting
Fertilizing"	Free text (short)	1
DM-66	Event accession number	Accession number of the event type in a suitable controlled vocabulary (Crop Ontology).	"CO_715:0000007
CO_715:0000011"	Crop Ontology term (subclass of CO_715:0000006)	0-1
DM-67	Event description	Description of the event, including details such as amount applied and possibly duration of the event. 	"Sowing using seed drill 
Fertilizer application: Ammonium nitrate at 3 kg/m2"	Free text	0-1
DM-68	Event date	Date and time of the event.	"2006-09-27T10:23:21+00:00
2006-10-27; 2006-11-13; 2016-11-21"	Date/Time (ISO 8601, optional time zone)	1+
DM-69	Observation Unit	Observation units are objects that are subject to instances of observation and measurement. An observation unit comprises one or more plants, and/or their environment. There can be pure environment observation units with no plants. Synonym: Experimental unit.			1+ per study
DM-70	Observation unit ID	Identifier used to identify the observation unit in data files containing the values observed or measured on that unit. Must be locally unique. 	plot:894	Unique identifier	1
DM-71	Observation unit type	Type of observation unit in textual form, usually one of the following: study, block, sub-block, plot, sub-plot, pot, plant. Use of other observation unit types is possible but not recommended. The observation unit type cannot be used to indicate sub-plant levels. However, observations can still be made on the sub-plant level, as long as the details are indicated in the associated observed variable (see observed variables). Alternatively, it is possible to use samples for more detailed tracing of sub-plant units, attaching the observations to them instead.	plot	Free text	1
DM-72	External ID	Identifier for the observation unit in a persistent repository, comprises the name of the repository and the identifier of the observation unit therein. The EBI Biosamples repository can be used. URI are recommended when possible.	Biosamples:SAMEA4202911	Unique identifier	0+
DM-73	Spatial distribution	Type and value of a spatial coordinate (georeference or relative) or level of observation (plot 45, subblock 7, block 2) provided as a key-value pair of the form type:value. Levels of observation must be consistent with those listed in the Study section.	"latitude:+2.341; row:4 ; X:3; Y:6; Xm:35; Ym:65; block:1; plot:894"	Formatted text (Key:value)	0+
DM-74	Observation Unit factor value	List of values for each factor applied to the observation unit.	Watered	Free text	0+
DM-75	Sample	A sample is a portion of plant tissue harvested, non-harvested or extracted from an observation unit for the purpose of sub-plant observations and/or molecular studies. A sample must be used when there is a physical sample that needs to be stored and traced. Otherwise, observations made at the sub-plant level should be recorded as plant level observations using the observed variables to characterize the object of the observation (e.g. Berry sugar content, Fruit weight, Grain Protein content, Leaf 1 width, Leaf 2 width, Leaf 2 length).			0+ per observation unit
DM-76	Sample ID	Unique identifier for the sample.	CEA:BE00034067	Unique identifier	1
DM-77	Plant structure development stage	The stage in the life of a plant structure during which the sample was taken, in the form of an accession number to a suitable controlled vocabulary (Plant Ontology, BBCH scale)	"PO:0025094
BBCH-17"	Plant Ontology term (subclass or PO:0009012) or BBCH scale term	0-1
DM-78	Plant anatomical entity	A description of  the plant part (e.g. leaf) or the plant product (e.g. resin) from which the sample was taken, in the form of an accession number to a suitable controlled vocabulary (Plant Ontology).	"PO:0000003
PO:0025161"	"Plant Ontology term (subclass of PO:0025131)
"	1
DM-79	Sample description	Any information not captured by the other sample fields, including quantification, sample treatments and processing.	"Distal part of the leaf ; 100 mg of roots taken from 10 roots at 20°C, conserved in vacuum at 20 mM NaCl salinity, stored at -60 °C to -85 °C."	Free text	0-1
DM-80	Collection date	The date and time when the sample was collected / harvested	2005-08-15T15:52:01+00:00	Date/Time	1
DM-81	External ID	An identifier for the sample in a persistent repository, comprising the name of the repository and the accession number of the observation unit therein. Submission to the EBI Biosamples repository is recommended. URI are recommended when possible.	Biosamples:SAMEA4202911	Unique identifier	0+
DM-82	Observed Variable	An observed variable describes how a measurement has been made. It typically takes the form of a measured characteristic of the observation unit (plant or environmental trait), associated to the method and unit of measurement. Multiple variables with the same combination of trait, method and scale can be used in association with different plant parts (leaf 1, leaf 2), when this distinction is necessary for observations referring to different parts of the same observation unit.			1+ per study
DM-83	Variable ID	Code used to identify the variable in the data file. We recommend using a variable definition from the Crop Ontology where possible. Otherwise, the Crop Ontology naming convention is recommended: <trait abbreviation>_<method abbreviation>_<scale abbreviation>). A variable ID must be unique within a given investigation.	Ant_Cmp_Cday	Unique identifier	1
DM-84	Variable name	Name of the variable.	Anthesis computed in growing degree days	Free text	0-1
DM-85	Variable accession number	Accession number of the variable in the Crop Ontology	CO_322:0000794	Crop Ontology term	0-1
DM-86	Trait	Name of the (plant or environmental) trait under observation	"Anthesis time
Reproductive growth time"	Free text	1
DM-87	Trait accession number	Accession number of the trait in a suitable controlled vocabulary (Crop Ontology, Trait Ontology).	"CO_322:0000030
TO:0000366"	Term from Plant Trait Ontology, Crop Ontology, or XML Environment Ontology	0-1
DM-88	Method	Name of the method of observation	Growing degree days to anthesis	Free text	1
DM-89	Method accession number	Accession number of the method in a suitable controlled vocabulary (Crop Ontology, Trait Ontology).	CO_322:0000189	Term from Plant Trait Ontology, Crop Ontology, or XML Environment Ontology	0-1
DM-90	Method description	Textual description of the method, which may extend a method defined in an external reference with specific parameters, e.g. growth stage, inoculation precise organ (leaf number)	"Days to anthesis for male flowering was measured in thermal time (GDD: growing degree-days) according to Ritchie J, NeSmith D (1991;Temperature and crop development. Modeling plant and soil systems American Society of Agronomy Madison, Wisconsin USA) with TBASE=8°C and T0=30°C.
Plant height was measured at 5 years with a ruler, one year after Botritis inoculation."	Free text	0-1
DM-91	Reference associated to the method	URI/DOI of reference describing the method.	http://doi.org/10.2134/agronmonogr31.c2	URI or DOI	0-1
DM-92	Scale	Name of the scale associated with the variable	°C day	Unique identifier	1
DM-93	Scale accession number	Accession number of the scale in a suitable controlled vocabulary (Crop Ontology).	CO_322:0000510	Crop Ontology term	0-1
DM-94	Time scale	Name of the scale or unit of time with which observations of this type were recorded in the data file (for time series studies).	"Growing degree day (GDD)
Date/Time"	Free text	0+
